year,file_name,head_of_state,url_text
2019,2019.txt,Felipe de Borbón,https://www.casareal.es/ES/Actividades/Paginas/actividades_actividades_detalle.aspx?data=14241
2018,2018.txt,Felipe de Borbón,https://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=6085
2017,2017.txt,Felipe de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5734
2016,2016.txt,Felipe de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5632
2015,2015.txt,Felipe de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5555
2014,2014.txt,Felipe de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5420
2013,2013.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5292
2012,2012.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5178
2011,2011.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2620
2010,2010.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2483
2009,2009.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2348
2008,2008.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2179
2007,2007.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2004
2006,2006.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2898
2005,2005.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2667
2004,2004.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5046
2003,2003.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5056
2002,2002.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5090
2001,2001.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5080
2000,2000.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5072
1999,1999.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5065
1998,1998.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5042
1997,1997.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5038
1996,1996.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5032
1995,1995.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5030
1994,1994.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5029
1993,1993.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5023
1992,1992.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5013
1991,1991.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5002
1990,1990.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4991
1989,1989.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4910
1988,1988.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4909
1987,1987.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4905
1986,1986.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4903
1985,1985.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4902
1984,1984.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4901
1983,1983.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4897
1982,1982.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4877
1981,1981.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4873
1980,1980.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2824
1979,1979.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2823
1978,1978.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2822
1977,1977.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2821
1976,1976.txt,Juan Carlos de Borbón,http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2819
1975,1975.txt,Juan Carlos de Borbón,https://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2818
1974,1974.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00023.htm
1973,1973.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00022.htm
1972,1972.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00021.htm
1971,1971.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00032.htm
1970,1970.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00031.htm
1969,1969.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00030.htm
1968,1968.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00028.htm
1967,1967.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00020.htm
1966,1966.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00019.htm
1965,1965.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00018.htm
1964,1964.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00017.htm
1963,1963.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00016.htm
1962,1962.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00015.htm
1961,1961.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00014.htm
1960,1960.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00013.htm
1959,1959.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00012.htm
1958,1958.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00011.htm
1957,1957.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00010.htm
1956,1956.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00009.htm
1955,1955.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00008.htm
1954,1954.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00007.htm
1953,1953.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00006.htm
1952,1952.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00005.htm
1951,1951.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00004.htm
1950,1950.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00003.htm
1949,1949.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00027.htm
1948,1948.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00026.htm
1947,1947.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00025.htm
1946,1946.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00029.htm
1939,1939.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00024.htm
1938,1938.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00001.htm
1937,1937.txt,Francisco Franco,http://www.generalisimofranco.com/Discursos/MENSAJES/00002.htm
